sku,offer,image,title,old_price,retailer_sku_code,crawl_time,urls,out_of_stock,price,categories,desc
86265,False,https://a4ucontent.blob.core.windows.net/images/0003715_0.png,President Salted Butter Rect 250G,,prod-data-id86265,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$5.60,,"Président<br/>
Salted Butter<br/>
<span style=""color: grey;"">250 g</span>"
86266,False,https://a4ucontent.blob.core.windows.net/images/0003719_0.png,President Unsalted Butter Rect 250G,,prod-data-id86266,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$5.60,,"Président<br/>
Unsalted Butter<br/>
<span style=""color: grey;"">250 g</span>"
2066,True,https://a4ucontent.blob.core.windows.net/images/0003411_0.png,Cowhead Butter 250G,,prod-data-id2066,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$3.80,,"Cowhead<br/>
Butter<br/>
<span style= ""color: gray"">250g</span>"
2106,True,https://a4ucontent.blob.core.windows.net/images/0003450_0.png,Scs Butter Salted 250G,,prod-data-id2106,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$5.15,,"SCS <br/>
Salted Butter <br/>
<span style= ""color: gray"">250g</span>"
2184,True,https://a4ucontent.blob.core.windows.net/images/0003516_0.png,Scs Butter Unsalted 227G,,prod-data-id2184,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$5.15,,"SCS <br/>
Unsalted Butter <br/>
<span style= ""color: gray"">227g</span>"
84292,True,https://a4ucontent.blob.core.windows.net/images/0003410_0.png,Lurpak Butter Spreadable Salted 250G,,prod-data-id84292,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$6.95,,"Lurpak<br/>
Butter Spreadable Salted<br/>
<span style= ""color: gray""> 250g </span>"
84757,False,https://a4ucontent.blob.core.windows.net/images/0003438_0.png,Lurpak Butter Unsalted 250G,,prod-data-id84757,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$6.60,,"Lurpak <br/>
Unsalted Butter <br/>
<span style= ""color: gray""> 250g </span>"
2094,False,https://a4ucontent.blob.core.windows.net/images/0003439_0.png,Lurpak Butter Slightly Salted 250G,,prod-data-id2094,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$6.60,,"Lurpak <br/>
Slightly Salted Butter <br/>
<span style= ""color: gray""> 250g </span>"
2100,True,https://a4ucontent.blob.core.windows.net/images/0003445_0.png,Golden Churn Butter 250G,,prod-data-id2100,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$3.95,,"Golden Churn<br/>
Butter<br/>
<span style= ""color: gray"">250g</span>"
56105,False,https://a4ucontent.blob.core.windows.net/images/0008549_0.png,Golden Churn Butter 454G,,prod-data-id56105,2015-12-11 02:33:53,https://allforyou.sg/butter-margarine,False,$9.80,,"Golden Churn <br/>
Butter (Canned) <br/>
<span style= ""color: gray"">454g</span>"
